,Volume (t-10),Volume (t-9),Volume (t-8),Volume (t-7),Volume (t-6),Volume (t-5),Volume (t-4),Volume (t-3),Volume (t-2),Volume (t-1),Close (t-10),Close (t-9),Close (t-8),Close (t-7),Close (t-6),Close (t-5),Close (t-4),Close (t-3),Close (t-2),Close (t-1),Close (t),movement
85,39348680.0,59012640.0,47069920.0,39834120.0,32829120.0,73587640.0,50319480.0,55563840.0,112483280.0,57394400.0,47.05625,47.5875,45.45625,46.1796875,46.35625,44.75625,45.825,46.125,44.7125,43.34375,44.825,1
86,59012640.0,47069920.0,39834120.0,32829120.0,73587640.0,50319480.0,55563840.0,112483280.0,57394400.0,60379040.0,47.5875,45.45625,46.1796875,46.35625,44.75625,45.825,46.125,44.7125,43.34375,44.825,46.5359375,1
87,47069920.0,39834120.0,32829120.0,73587640.0,50319480.0,55563840.0,112483280.0,57394400.0,60379040.0,56808880.0,45.45625,46.1796875,46.35625,44.75625,45.825,46.125,44.7125,43.34375,44.825,46.5359375,46.68125,1
88,39834120.0,32829120.0,73587640.0,50319480.0,55563840.0,112483280.0,57394400.0,60379040.0,56808880.0,46001480.0,46.1796875,46.35625,44.75625,45.825,46.125,44.7125,43.34375,44.825,46.5359375,46.68125,53.26875,1
89,32829120.0,73587640.0,50319480.0,55563840.0,112483280.0,57394400.0,60379040.0,56808880.0,46001480.0,117387680.0,46.35625,44.75625,45.825,46.125,44.7125,43.34375,44.825,46.5359375,46.68125,53.26875,58.275,1
90,73587640.0,50319480.0,55563840.0,112483280.0,57394400.0,60379040.0,56808880.0,46001480.0,117387680.0,39735120.0,44.75625,45.825,46.125,44.7125,43.34375,44.825,46.5359375,46.68125,53.26875,58.275,58.6375,1
91,50319480.0,55563840.0,112483280.0,57394400.0,60379040.0,56808880.0,46001480.0,117387680.0,39735120.0,26029240.0,45.825,46.125,44.7125,43.34375,44.825,46.5359375,46.68125,53.26875,58.275,58.6375,56.0125,0
92,55563840.0,112483280.0,57394400.0,60379040.0,56808880.0,46001480.0,117387680.0,39735120.0,26029240.0,56026480.0,46.125,44.7125,43.34375,44.825,46.5359375,46.68125,53.26875,58.275,58.6375,56.0125,55.05625,0
93,112483280.0,57394400.0,60379040.0,56808880.0,46001480.0,117387680.0,39735120.0,26029240.0,56026480.0,70264000.0,44.7125,43.34375,44.825,46.5359375,46.68125,53.26875,58.275,58.6375,56.0125,55.05625,52.08125,0
94,57394400.0,60379040.0,56808880.0,46001480.0,117387680.0,39735120.0,26029240.0,56026480.0,70264000.0,69151000.0,43.34375,44.825,46.5359375,46.68125,53.26875,58.275,58.6375,56.0125,55.05625,52.08125,49.71875,0
95,60379040.0,56808880.0,46001480.0,117387680.0,39735120.0,26029240.0,56026480.0,70264000.0,69151000.0,62927200.0,44.825,46.5359375,46.68125,53.26875,58.275,58.6375,56.0125,55.05625,52.08125,49.71875,52.75625,1
96,56808880.0,46001480.0,117387680.0,39735120.0,26029240.0,56026480.0,70264000.0,69151000.0,62927200.0,50140360.0,46.5359375,46.68125,53.26875,58.275,58.6375,56.0125,55.05625,52.08125,49.71875,52.75625,50.8125,0
97,46001480.0,117387680.0,39735120.0,26029240.0,56026480.0,70264000.0,69151000.0,62927200.0,50140360.0,75446600.0,46.68125,53.26875,58.275,58.6375,56.0125,55.05625,52.08125,49.71875,52.75625,50.8125,48.0375,0
98,117387680.0,39735120.0,26029240.0,56026480.0,70264000.0,69151000.0,62927200.0,50140360.0,75446600.0,73350480.0,53.26875,58.275,58.6375,56.0125,55.05625,52.08125,49.71875,52.75625,50.8125,48.0375,45.78125,0
99,39735120.0,26029240.0,56026480.0,70264000.0,69151000.0,62927200.0,50140360.0,75446600.0,73350480.0,75298720.0,58.275,58.6375,56.0125,55.05625,52.08125,49.71875,52.75625,50.8125,48.0375,45.78125,46.85625,1
100,26029240.0,56026480.0,70264000.0,69151000.0,62927200.0,50140360.0,75446600.0,73350480.0,75298720.0,106265640.0,58.6375,56.0125,55.05625,52.08125,49.71875,52.75625,50.8125,48.0375,45.78125,46.85625,48.95,1
101,56026480.0,70264000.0,69151000.0,62927200.0,50140360.0,75446600.0,73350480.0,75298720.0,106265640.0,72463360.0,56.0125,55.05625,52.08125,49.71875,52.75625,50.8125,48.0375,45.78125,46.85625,48.95,49.8125,1
102,70264000.0,69151000.0,62927200.0,50140360.0,75446600.0,73350480.0,75298720.0,106265640.0,72463360.0,76372000.0,55.05625,52.08125,49.71875,52.75625,50.8125,48.0375,45.78125,46.85625,48.95,49.8125,53.9125,1
103,69151000.0,62927200.0,50140360.0,75446600.0,73350480.0,75298720.0,106265640.0,72463360.0,76372000.0,103466600.0,52.08125,49.71875,52.75625,50.8125,48.0375,45.78125,46.85625,48.95,49.8125,53.9125,47.54375,0
104,62927200.0,50140360.0,75446600.0,73350480.0,75298720.0,106265640.0,72463360.0,76372000.0,103466600.0,130542000.0,49.71875,52.75625,50.8125,48.0375,45.78125,46.85625,48.95,49.8125,53.9125,47.54375,42.4375,0
105,50140360.0,75446600.0,73350480.0,75298720.0,106265640.0,72463360.0,76372000.0,103466600.0,130542000.0,86937200.0,52.75625,50.8125,48.0375,45.78125,46.85625,48.95,49.8125,53.9125,47.54375,42.4375,38.85,0
106,75446600.0,73350480.0,75298720.0,106265640.0,72463360.0,76372000.0,103466600.0,130542000.0,86937200.0,102163240.0,50.8125,48.0375,45.78125,46.85625,48.95,49.8125,53.9125,47.54375,42.4375,38.85,35.275,0
107,73350480.0,75298720.0,106265640.0,72463360.0,76372000.0,103466600.0,130542000.0,86937200.0,102163240.0,142062320.0,48.0375,45.78125,46.85625,48.95,49.8125,53.9125,47.54375,42.4375,38.85,35.275,35.40625,1
108,75298720.0,106265640.0,72463360.0,76372000.0,103466600.0,130542000.0,86937200.0,102163240.0,142062320.0,76456360.0,45.78125,46.85625,48.95,49.8125,53.9125,47.54375,42.4375,38.85,35.275,35.40625,34.28125,0
109,106265640.0,72463360.0,76372000.0,103466600.0,130542000.0,86937200.0,102163240.0,142062320.0,76456360.0,51899800.0,46.85625,48.95,49.8125,53.9125,47.54375,42.4375,38.85,35.275,35.40625,34.28125,34.15625,0
