Date,t-1,t,movement
2017-07-12,3623602559.5,146.66,1
2017-07-13,3706170796.7,147.93,1
2017-07-14,2998368169.83,148.44,1
2017-07-17,3555095546.16,148.95,1
2017-07-18,2678848620.75,149.89,1
2017-07-19,3157920142.39,149.21,0
2017-07-20,2585817954.1800003,149.14,0
2017-07-21,3774814681.2999997,150.96,1
2017-07-24,3265413042.7200003,151.6,1
2017-07-25,2876143830.0,152.31,1
2017-07-26,2414562662.19,149.43,0
2017-07-27,4883139737.49,148.39,0
2017-07-28,2570982733.1099997,147.62,0
2017-07-31,2932084240.36,148.92,1
2017-08-01,5121949416.719999,155.97,1
2017-08-02,10958805783.99,154.4,0
2017-08-03,4141844539.2000003,155.22,1
2017-08-04,3209280757.02,157.62,1
2017-08-07,3466708938.6600003,158.88,1
2017-08-08,5784102026.88,159.86,1
2017-08-09,4198067633.86,154.76,0
2017-08-10,6159619319.32,156.92,1
2017-08-11,4131933801.64,159.28,1
2017-08-14,3528766530.08,161.02,1
2017-08-15,4747808668.64,160.37,0
2017-08-16,4445923076.7,157.29,0
2017-08-17,4340470399.44,156.94,0
2017-08-18,4315363172.12,156.65,0
2017-08-21,4141130160.7000003,159.21,1
2017-08-22,3446319363.75,159.41,1
2017-08-23,3100261951.73,158.7,0
2017-08-24,3154082515.2,159.29,1
2017-08-25,4071327357.35,160.89,1
2017-08-28,4149425339.6099997,162.33,1
2017-08-29,4799082401.190001,162.76,1
2017-08-30,4446763518.599999,163.41,1
2017-08-31,4386313642.62,163.46,1
2017-09-01,2719199109.2200003,161.5,0
2017-09-05,4782248690.5,161.33,0
2017-09-06,3499257379.8,160.68,0
2017-09-07,3532718514.0,158.06,0
2017-09-08,4509059337.02,160.92,1
2017-09-11,5089927600.08,160.28,0
2017-09-12,11518495433.24,159.08,0
2017-09-13,7163262316.64,157.71,0
2017-09-14,3741652086.48,159.31,1
2017-09-15,7810130054.92,158.1,0
2017-09-18,4468008606.9,158.16,1
